cik,fiscal_year_end,industry_name,sector_name,lat,lng,Issuer Name,Issuer Ticker,Firm ID,Firm Name,Firm Issuing State,Firm Issuing City,Engagement Partner ID,Engagement Partner Name,filing_date,business_state
1755101,630,Services-computer processing & data preparation,Business services,37.7920903,-122.4036761,APPLIFE DIGITAL SOLUTIONS INC.,NA,587,RBSM LLP,New York,NEW YORK,58700003,MANNY TZAGARAKIS,11/19/2019,CA
1477845,1231,Pharmaceutical preparations,Chemicals and allied products,40.0632496,-75.467589,"Annovis Bio, Inc.",ANVS,100,"WithumSmith+Brown, PC",New Jersey,East Brunswick,10000100,Taryn Bostjancic,3/27/2020,PA
1033012,1231,"Savings institution, federally chartered",Depository institutions,42.5935122,-83.176205,FLAGSTAR BANCORP INC,FBC; FBC.PR,238,PricewaterhouseCoopers LLP,Michigan,Detroit,23800431,Christopher Nelson,3/19/2020,MI
1614178,131,Services-computer processing & data preparation,Business services,40.7410895,-73.9875092,"YEXT, INC.",YEXT,42,Ernst & Young LLP,New York,New York,4200784,Kenneth Egan,4/1/2019,NY
832731,1231,NA,NA,29.732565,-95.4292452,"Huckin Financial Group, Inc.",NA,2738,"M&K CPAS, PLLC",Texas,Houston,273800003,Daniel Lafley,3/23/2020,TX
315545,1231,Pharmaceutical preparations,Chemicals and allied products,35.9262926,-84.1274824,"PROVECTUS BIOPHARMACEUTICALS, INC.",PVCT; PVCTW,688,Marcum LLP,New York,New York,68800155,John Hughes,3/7/2020,TN
1579010,531,Beverages,Food and kindred products,40.7573686,-73.9714981,"Life on Earth, Inc.",LFERD,711,Friedman LLP,New Jersey,East Hanover,71100015,Michael Cohen,9/25/2019,NY
1527613,930,Retail-miscellaneous retail,Miscellaneous retail,33.0107006,-96.6884568,"NuZee, Inc.",NUZE,206,"MaloneBailey, LLP",Texas,Houston,20600006,Leah Gonzales,1/22/2020,TX
68505,1231,Radio & tv broadcasting & communications equipment,Electrical and electronic equipment,41.8808419,-87.6407695,"Motorola Solutions, Inc.",MSI; MEU.1,238,PricewaterhouseCoopers LLP,Illinois,Chicago,23800158,Dennis Wolff,3/5/2020,IL
720154,930,Services-commercial physical & biological research,Engineering and management services,40.4584855,-86.9299365,Bioanalytical Systems Inc,BASI,49,RSM US LLP,Indiana,Indianapolis,4998641,John Zalud,12/30/2019,IN
891014,1231,Industrial inorganic chemicals,Chemicals and allied products,40.7497798,-73.9757003,Minerals Technologies Inc.,MTX,185,KPMG LLP,New York,New York,18500655,Brendan Dunn,3/17/2020,NY
1559495,1231,Life insurance,Insurance carriers,47.6166329,-122.1969857,Symetra Life Insurance Co,NA,42,Ernst & Young LLP,Washington,Seattle,4202079,Chad Miller,4/8/2019,WA
18498,201,Retail-shoe stores,Apparel and accessory stores,36.1132048,-86.6923245,Genesco Inc.,GCO,42,Ernst & Young LLP,Tennessee,Nashville,4203648,Joshua Trusley,4/19/2019,TN
1000045,331,Short-term business credit institutions,Nondepository credit institutions,28.0110299,-82.7079666,"Nicholas Financial, Inc.",NICK; 3636B,49,RSM US LLP,North Carolina,Raleigh,4979574,Morris Marshburn,7/1/2019,FL
755001,1231,Electric & other services combined,"Electric, gas, and sanitary services",42.949308,-70.864048,UNITIL CORP,UTL,34,Deloitte &  Touche LLP,Massachusetts,Boston,3410743,Christopher Fehl,2/24/2020,NH
1616862,1231,"Paints, varnishes, lacquers, enamels & allied prods",Chemicals and allied products,39.9544961,-75.173498,Axalta Coating Systems Ltd.,AXTA,238,PricewaterhouseCoopers LLP,Pennsylvania,Philadelphia,23800238,Albert Piscopo,3/10/2020,PA
935494,1231,Services-prepackaged software,Business services,30.4083821,-97.7262444,National Instruments Corporation,NATI,42,Ernst & Young LLP,Texas,Austin,4200226,Michael Blue,3/9/2020,TX
30554,1231,"Plastic material, synth resin/rubber, cellulos (no glass)",Chemicals and allied products,39.7554433,-75.6051393,DUPONT E I DE NEMOURS & CO,DD.2; CTA.PA; CTA.PB,238,PricewaterhouseCoopers LLP,Pennsylvania,Philadelphia,23800327,J Lambe,3/5/2020,DE
1051470,1231,Real estate investment trusts,Holding and other investment offices,29.7546993,-95.48327,CROWN CASTLE INTERNATIONAL CORP,CCI; 3593B; 3CCIKO; CCI.PA.; CCI.PA,238,PricewaterhouseCoopers LLP,Pennsylvania,Pittsburgh,23800196,Steven Haffner,3/18/2019,TX
1759425,1231,Pharmaceutical preparations,Chemicals and allied products,37.5577976,-122.2769085,"Mirum Pharmaceuticals, Inc.",MIRM,42,Ernst & Young LLP,California,Irvine,4201743,Kim Stobart,3/25/2020,CA
1299130,1231,Laboratory analytical instruments,Instruments and related products,37.477395,-122.1446443,"Pacific Biosciences of California, Inc.",PACB,42,Ernst & Young LLP,California,Redwood City,4201478,Surita Goehl,3/17/2020,CA
1472787,1231,Title insurance,Insurance carriers,33.7019896,-117.8601399,First American Financial Corp,FAF,238,PricewaterhouseCoopers LLP,California,Los Angeles,23800279,Robert Gumm,3/4/2020,CA
884217,201,Retail-apparel & accessory stores,Apparel and accessory stores,29.7086443,-95.5624663,TAILORED BRANDS INC,TLRD,34,Deloitte &  Touche LLP,Texas,Houston,3411611,Anthony Torres,4/25/2019,TX
1424929,103,"Motorcycles, bicycles & parts",Transportation equipment,34.1302038,-83.7656823,Fox Factory Holding Corp.,FOXF,248,Grant Thornton LLP,California,San Francisco,24800251,Rimma Tabakh,3/20/2020,GA
1145765,1231,Commodity contracts brokers & dealers,"Security, commodity brokers, and services",40.7340454,-74.3206696,GLOBAL MACRO TRUST,NA,34,Deloitte &  Touche LLP,New York,New York,3411453,Natasha Holbeck,4/11/2019,CT
1792849,1231,Drilling oil & gas wells,Oil and gas extraction,32.7536429,-97.334168,"HighPeak Energy, Inc.",NA,100,"WithumSmith+Brown, PC",New York,New York,10000350,Mark Deters,12/6/2019,TX
727207,1231,Laboratory analytical instruments,Instruments and related products,32.1759497,-110.9278985,"Accelerate Diagnostics, Inc.",AXDX,42,Ernst & Young LLP,Arizona,Phoenix,4200787,Richard Eggleston,3/10/2020,AZ
1631825,630,Wholesale-computers & peripheral equipment & software,Wholesale trade--durable goods,40.7511657,-73.9922402,"Presidio, Inc.",PSDO,49,RSM US LLP,New York,New York,4930513,Stuart Taub,9/9/2019,NY
845385,1231,Industrial & commercial fans & blowers & air purifing equip,Industrial machinery and equipment,42.6607381,-71.1072514,Princeton Capital Corporation,PIAC,100,"WithumSmith+Brown, PC",New Jersey,Whippany,10000900,Carl Scheuten,5/6/2019,MA
1715819,1231,Surgical & medical instruments & apparatus,Instruments and related products,33.6351363,-111.8821362,"Electromedical Technologies, Inc.",NA,3501,DBBMCKENNON,California,San Diego,350100002,Russ Boyer,11/21/2019,AZ
203527,1002,Electromedical & electrotherapeutic apparatus,Instruments and related products,37.4170321,-122.1428778,VARIAN MEDICAL SYSTEMS INC,VAR,238,PricewaterhouseCoopers LLP,California,San Jose,23800175,Mikayel Nazloyan,12/20/2019,CA
1261654,930,Services-educational services,Educational services,33.6339286,-111.9265965,UNIVERSAL TECHNICAL INSTITUTE INC,UTI,34,Deloitte &  Touche LLP,Arizona,Phoenix,3410983,Aaron Craft,12/24/2019,AZ
1766878,630,Computer communications equipment,Industrial machinery and equipment,33.681111,-117.8418578,"Badu Holdings, Inc.",NA,5837,"Hall & Company Certified Public Accountants & Consultants, Inc.",California,Irvine,583700004,Anthony Price,2/19/2019,CA
1023128,1231,Retail-auto dealers & gasoline stations,Automotive dealers and gasoline service stations,42.3286582,-122.8720949,"Lithia Motors, Inc.",LAD; 2783B,185,KPMG LLP,Oregon,Portland,18500835,Ryan Marquez,3/23/2020,OR
739421,1231,State commercial banks,Depository institutions,41.8068861,-77.0773571,"Citizens Financial Services, Inc.",CZFS,74,"S. R. Snodgrass, P.C.",Pennsylvania,Cranberry Township,7400015,Ian McDowell,3/28/2020,PA
1065059,1231,Mining & quarrying of nonmetallic minerals (no fuels),"Nonmetallic minerals, except fuels",39.028173,-77.1397979,CENTRUS ENERGY CORP,USU; LEU; 9534B,238,PricewaterhouseCoopers LLP,Maryland,Baltimore,23800783,Brian Kerrigan,4/16/2019,MD
1743713,1231,NA,NA,34.0667222,-118.3984646,Universe Trail Acquisition Corp,NA,2851,KCCW Accountancy Corp.,California,Los Angeles,285111112,Thomas Chang,6/20/2019,CA
1627475,1231,Services-computer processing & data preparation,Business services,37.3981368,-122.0491638,Upwork Inc.,UPWK,238,PricewaterhouseCoopers LLP,California,San Jose,23800697,Jeffrey Mollenhauer,3/20/2020,CA
1465128,1231,Real estate investment trusts,Holding and other investment offices,41.0178496,-73.647521,"STARWOOD PROPERTY TRUST, INC.",STWD,34,Deloitte &  Touche LLP,Florida,Miami,3411119,Robert Fleshman,3/12/2020,CT
1484769,1231,Services-motion picture & video tape production,Motion pictures,26.3669699,-80.1304277,"Pulse Evolution Group, Inc.",NA,688,Marcum LLP,New York,New York,68800121,Edward Hackert,9/25/2019,FL
1474167,1231,"Wholesale-drugs, proprietaries & druggists' sundries",Wholesale trade--nondurable goods,41.878023,-87.632401,"Cosmos Holdings, Inc.",COSM,32,Armanino LLP,California,San Francisco,3200004,Ricardo Martinez,6/28/2019,IL
1031316,1231,Real estate investment trusts,Holding and other investment offices,42.5238036,-71.0411748,Franklin Street Properties Corp.,FSP,42,Ernst & Young LLP,Massachusetts,Boston,4200550,Steven Connors,2/20/2020,MA
1664710,1231,Pharmaceutical preparations,Chemicals and allied products,42.425194,-71.2479378,"Keros Therapeutics, Inc.",NA,34,Deloitte &  Touche LLP,Massachusetts,Boston,3410840,James Holmes,3/20/2020,MA
920448,1231,Services-prepackaged software,Business services,37.5041973,-122.2132015,BroadVision Inc.,BVSN,252,OUM & Co. LLP,California,San Francisco,25200005,Darwin Pangilinan,4/30/2019,CA
1370880,1231,"Computer peripheral equipment, nec",Industrial machinery and equipment,37.4168712,-121.9220926,"FireEye, Inc.",FEYE,34,Deloitte &  Touche LLP,California,San Jose,3411215,John Kelm,3/11/2020,CA
1704715,1231,Bituminous coal & lignite surface mining,Coal mining,36.5910455,-82.1824523,"Contura Energy, Inc.",CTRA,185,KPMG LLP,North Carolina,Greensboro,18500509,Robert Slappey,4/5/2019,TN
948708,1231,Services-prepackaged software,Business services,40.5627242,-80.0213424,"Smith Micro Software, Inc.",SMSI,367,SingerLewak LLP,Colorado,denver,36701420,ed schenkein,3/16/2020,PA
731802,930,Natural gas distribution,"Electric, gas, and sanitary services",32.922216,-96.8181014,Atmos Energy Corporation,ATO,42,Ernst & Young LLP,Texas,Dallas,4201386,Derick Hutchins,11/22/2019,TX
1533030,1231,"Cutlery, handtools & general hardware",Fabricated metal products,39.7298292,-105.0039739,Redwood Green Corp. (Acquisition of Critical Mass Industries),NA,5041,B F Borgers CPA PC,Colorado,Lakewood,504100001,Ben Borgers,3/27/2020,CO
1499961,1231,Services-computer processing & data preparation,Business services,25.9273039,-80.1416279,"Net Element, Inc.",NETE; NETEW,229,Daszkal Bolton LLP,Florida,Fort Lauderdale,22900271,Scott Walters,4/25/2019,FL
1101302,1231,"Plastics products, nec",Rubber and miscellaneous plastics products,42.5498398,-71.2836742,"Entegris, Inc.",ENTG,185,KPMG LLP,Minnesota,Minneapolis,18500248,Benjamin Reinhardt,3/10/2020,MA
1113232,1231,"Special industry machinery, nec",Industrial machinery and equipment,42.575727,-70.905115,"Axcelis Technologies, Inc.",ACLS,42,Ernst & Young LLP,Massachusetts,Boston,4200171,James Belliveau,3/6/2020,MA
1421461,1231,Mining & quarrying of nonmetallic minerals (no fuels),"Nonmetallic minerals, except fuels",39.7488698,-104.993925,"Intrepid Potash, Inc.",IPI,185,KPMG LLP,Colorado,Denver,18500793,Darrel Loyd,4/4/2019,CO
1209028,1231,Real estate investment trusts,Holding and other investment offices,38.9370527,-77.1809128,Arlington Asset Investment Corp.,AI; 3339B; AI.PB; AI.PC,238,PricewaterhouseCoopers LLP,Virginia,McLean,23800108,John Oliver,3/11/2020,VA
1517375,1231,Services-prepackaged software,Business services,41.8797799,-87.629123,"Sprout Social, Inc.",SPT; 8019B,238,PricewaterhouseCoopers LLP,Illinois,Chicago,23800841,Shaun Michael Goldfarb,3/19/2020,IL
1768267,930,Services-prepackaged software,Business services,42.484414,-71.1915451,Cerence Inc.,CRNC,243,"BDO USA, LLP",Massachusetts,Boston,24311435,John Blanchette,12/24/2019,MA
1666267,1231,"Perfumes, cosmetics & other toilet preparations",Chemicals and allied products,33.6224045,-111.9286812,"Arrestage International, Inc",NA,5041,B F Borgers CPA PC,Colorado,Lakewood,504100001,Ben Borgers,4/1/2019,AZ
1174891,1231,Real estate investment trusts,Holding and other investment offices,29.6226,-95.6044,"Calethos, Inc.",BUUZ,587,RBSM LLP,California,larkspur,58700005,sam berde,4/8/2019,TX
1301236,1231,Real estate investment trusts,Holding and other investment offices,37.2683102,-76.7059179,Sotherly Hotels Inc.,SOHO; SOHOB; SOHOO; SOHON,57,Dixon Hughes Goodman LLP,Virginia,Tysons,5700013,Jesse Respess,3/23/2019,VA
47217,1031,Computer & office equipment,Industrial machinery and equipment,37.4120244,-122.1483485,HP Inc.,HPQ,42,Ernst & Young LLP,California,San Jose,4200253,Mark Borsos,12/17/2019,CA
1331451,1231,Federal & federally-sponsored credit agencies,Nondepository credit institutions,41.8852827,-87.6215123,Federal Home Loan Bank of Chicago,NA,238,PricewaterhouseCoopers LLP,Illinois,Chicago,23800795,Bryan Heft,7/14/2019,IL
1138118,1231,Real estate,Real estate,34.0516069,-118.2536324,"CBRE Group, Inc.",CBRE,185,KPMG LLP,California,Los Angeles,18500022,Stuart McMullen,4/5/2019,CA
887226,630,Optical instruments & lenses,Instruments and related products,42.3828157,-83.523512,"Perceptron, Inc.",PRCP,243,"BDO USA, LLP",Michigan,Troy,24311666,William Putz,10/12/2019,MI
946563,1231,Surgical & medical instruments & apparatus,Instruments and related products,33.1496743,-96.944146,"Retractable Technologies, Inc.",RVP,659,Moss Adams LLP,Texas,Dallas,65900158,Jack Lamkin,4/25/2019,TX
1329606,1231,Printed circuit boards,Electrical and electronic equipment,33.6717696,-117.8778444,"Clean Energy Technologies, Inc.",CETY,5525,"Fruci & Associates II, PLLC",Washington,Spokane,552500001,Kemper Rojas,5/1/2019,CA
1453814,1231,Services-prepackaged software,Business services,40.7276647,-74.0067845,"Medidata Solutions, Inc.",MDSO,34,Deloitte &  Touche LLP,New York,New York,3411302,Shelley Duncan,4/2/2019,NY
1443646,331,Services-management consulting services,Engineering and management services,38.9223346,-77.2323425,Booz Allen Hamilton Holding Corporation,BAH; 2071B; 2070B; 2080B,42,Ernst & Young LLP,Virginia,Tysons,4200380,Thomas Caffrey,6/7/2019,VA
1274737,1231,Services-medical laboratories,Health services,33.1375095,-117.2318774,Exagen Inc.,XGN,243,"BDO USA, LLP",California,San Diego,24311672,Brian Taggart,3/26/2020,CA
1436126,1231,Services-engineering services,Engineering and management services,40.2986829,-74.644339,"Mistras Group, Inc.",MG,185,KPMG LLP,New Jersey,Short Hills,18500422,John DeAmorin,4/8/2019,NJ
1754301,630,Television broadcasting stations,Communications,40.7584439,-73.9820295,Fox Corporation,FOXA; FOX,42,Ernst & Young LLP,New York,New York,4201980,Bernard McDonald,8/23/2019,NY
937556,1228,Electromedical & electrotherapeutic apparatus,Instruments and related products,33.662523,-117.7569451,Masimo Corporation,MASI,248,Grant Thornton LLP,California,Newport Beach,24800127,Douglas McCombs,2/25/2020,CA
1721386,1231,Blank checks,Holding and other investment offices,40.7629891,-73.9723831,LF Capital Acquisition Corp.,LFACU; LFAC; LFACW; LFAC01,49,RSM US LLP,New York,New York,4986925,Patricia Baldowski,2/26/2020,NY
1739174,1231,"Biological products, (no disgnostic substances)",Chemicals and allied products,40.7028885,-74.0138771,Chardan Healthcare Acquisition Corp.,PHGE; PHGE.U; PHGE.WS,688,Marcum LLP,New York,New York,68800126,John Klenner,8/26/2019,NY
1280452,1231,Semiconductors & related devices,Electrical and electronic equipment,47.660038,-122.2054092,"Monolithic Power Systems, Inc.",MPWR,42,Ernst & Young LLP,California,San Jose,4201522,Evan Kass,3/9/2020,WA
12208,1231,Laboratory analytical instruments,Instruments and related products,38.023058,-122.279823,"Bio-Rad Laboratories, Inc.",BIO; BIO.B,185,KPMG LLP,California,Santa Clara,18500269,Steven Morgan,4/26/2019,CA
1225307,1231,Miscellaneous business credit institution,Nondepository credit institutions,41.1134559,-73.7158812,IBM Credit LLC,NA,238,PricewaterhouseCoopers LLP,New York,New York,23800586,Brian Caisman,3/19/2020,NY
1178670,1231,Pharmaceutical preparations,Chemicals and allied products,42.3646321,-71.0815385,"ALNYLAM PHARMACEUTICALS, INC.",ALNY,238,PricewaterhouseCoopers LLP,Massachusetts,Boston,23800070,Jeffrey Hemman,3/3/2020,MA
1004036,1231,Real estate investment trusts,Holding and other investment offices,36.0882694,-79.8338569,TANGER PROPERTIES LTD PARTNERSHIP /NC/,NA,34,Deloitte &  Touche LLP,North Carolina,Charlotte,3411263,Joseph Foster,3/9/2020,NC
914748,1231,"Fire, marine & casualty insurance",Insurance carriers,40.6407993,-74.5793338,EVEREST REINSURANCE HOLDINGS INC,NA,238,PricewaterhouseCoopers LLP,New York,New York,23800339,Steven Brown,4/16/2019,NJ
1409970,1231,"Services-business services, nec",Business services,37.7892515,-122.4008831,LendingClub Corp,LC,34,Deloitte &  Touche LLP,California,San Francisco,3411348,Kirby Rattenbury,2/24/2020,CA
77281,1231,Real estate investment trusts,Holding and other investment offices,39.9546323,-75.1745279,Pennsylvania Real Estate Investment Trust,PEI; PEI.PA.1; PEI.PA; PEI.PB; PEI.PC; PEI.PD,185,KPMG LLP,Pennsylvania,Philadelphia,18500067,Andrew Michal,3/27/2020,PA
8947,228,Electric lighting & wiring equipment,Electrical and electronic equipment,32.751472,-97.3623552,AZZ INC.,AZZ,243,"BDO USA, LLP",Texas,Dallas,24310904,James Wasinger,5/22/2019,TX
1357671,1231,Services-allied to motion picture production,Motion pictures,40.8536955,-73.9707896,"Jerrick Media Holdings, Inc.",JMDA,89,"Rosenberg Rich Baker Berman, P.A.",New Jersey,Somerset,8911111,Daniel Brown,4/13/2019,NJ
350737,1231,"Specialty cleaning, polishing and sanitation preparations",Chemicals and allied products,26.0723813,-80.2132209,"OCEAN BIO-CHEM, INC.",OBCI,274,EisnerAmper LLP,Florida,Fort Lauderdale,27407080,Joe Berkovits,5/16/2019,FL
726854,1231,National commercial banks,Depository institutions,38.415868,-81.7930949,City Holding Company,CHCO,173,Crowe LLP,Kentucky,Louisville,17302449,Jennifer Monaghan,3/2/2020,WV
1633070,1231,"Biological products, (no disgnostic substances)",Chemicals and allied products,42.3631032,-71.1153282,Axcella Health Inc.,AXLA,34,Deloitte &  Touche LLP,Massachusetts,Boston,3410825,Joseph Apke,5/2/2019,MA
1028954,1231,State commercial banks,Depository institutions,41.1216908,-74.57999,SB ONE BANCORP,SBBX,243,"BDO USA, LLP",New York,New York,24311134,Imran Makda,3/13/2020,NJ
39092,331,"Steel works, blast furnaces & rolling & finishing mills",Primary metal industries,32.5085922,-94.7390311,"Friedman Industries, Incorporated",FRD,659,Moss Adams LLP,Texas,Houston,65900149,Mark Zilberman,7/29/2019,TX
1652130,1231,In vitro & in vivo diagnostic substances,Chemicals and allied products,42.3573464,-71.1046518,"Intellia Therapeutics, Inc.",NTLA,34,Deloitte &  Touche LLP,Massachusetts,Boston,3411670,Sara Albano,3/10/2020,MA
1083522,1231,Beverages,Food and kindred products,47.5759842,-122.3362154,Jones Soda Co.,JSDA; JSD.,749,Peterson Sullivan LLP,Washington,Seattle,74900322,Nathan Hartman,3/23/2019,WA
857005,930,Services-prepackaged software,Business services,42.3510789,-71.0444781,PTC INC.,PTC,238,PricewaterhouseCoopers LLP,Massachusetts,Boston,23800341,Jason Kelly,12/10/2019,MA
1575975,331,Metal mining,Metal mining,36.1451522,-115.1248533,"Viabuilt Ventures, Inc.",NA,1976,"LBB & Associates Ltd., LLP",Texas,Houston,197688001,Carlos Lopez,9/17/2019,NV
1752773,1231,NA,NA,32.861428600000004,-96.8070119,ETC M-A Acquisition LLC,NA,248,Grant Thornton LLP,Texas,Dallas,24800030,Andrew Brown,2/28/2019,TX
1383057,1231,Commodity contracts brokers & dealers,"Security, commodity brokers, and services",41.8232537,-88.0319576,Invesco DB Precious Metals Fund,NA,238,PricewaterhouseCoopers LLP,Illinois,Chicago,23800189,Thomas Henk,3/19/2020,IL
907654,1231,In vitro & in vivo diagnostic substances,Chemicals and allied products,39.8978699,-105.0732915,"ARCA biopharma, Inc.",ABIO,185,KPMG LLP,Colorado,Denver,18500790,David Eberly,3/20/2020,CO
812348,1231,State commercial banks,Depository institutions,42.4021206,-71.0970532,"Century Bancorp, Inc.",CNBKA; CNBKB,185,KPMG LLP,Massachusetts,Boston,18500470,Joseph Gencarella,3/25/2019,MA
1609550,1231,Surgical & medical instruments & apparatus,Instruments and related products,44.9713611,-93.3502713,"Inspire Medical Systems, Inc.",INSP,42,Ernst & Young LLP,Minnesota,Minneapolis,4202071,William Miller,3/9/2020,MN
702325,1231,National commercial banks,Depository institutions,41.9830596,-87.8443085,"First Midwest Bancorp, Inc.",FMBI,42,Ernst & Young LLP,Illinois,Chicago,4200751,David Doyle,3/11/2020,IL
1631547,1231,Semiconductors & related devices,Electrical and electronic equipment,32.919788,-117.0733632,"ROID GROUP, Inc.",NA,6277,"AMC Auditing, LLC",Nevada,Las Vegas,627700003,Mimi Liu,1/28/2019,CA
1403708,1231,Pharmaceutical preparations,Chemicals and allied products,32.9927279,-117.2609062,"Evoke Pharma, Inc.",EVOK,243,"BDO USA, LLP",California,San Diego,24311978,Bo-Reum Monaco,3/13/2020,CA
1515317,1231,Metal mining,Metal mining,38.362757,-121.9634312,Magellan Gold Corporation,NA,206,"MaloneBailey, LLP",Texas,Houston,20600006,Leah Gonzales,5/3/2019,CA
1600422,1231,Oil & gas field machinery & equipment,Industrial machinery and equipment,40.4319527,-109.4978602,"Superior Drilling Products, Inc.",SDPI,659,Moss Adams LLP,Texas,Dallas,65900154,Pedro Gonzalez,9/20/2019,UT
1623541,NA,Radiotelephone communications,Communications,38.9753085,-77.0140291,"Greenmo, Inc.",NA,3627,"Sadler, Gibb & Associates, LLC",Utah,Salt Lake City,362700002,Kirk Gibb,4/8/2019,MD
717605,1231,"Plastic materials, synth resins & nonvulcan elastomers",Chemicals and allied products,41.0522677,-73.5338787,Hexcel Corporation,HXL,42,Ernst & Young LLP,Connecticut,Stamford,4201057,David Glinka,3/3/2020,CT
1676725,1231,Pharmaceutical preparations,Chemicals and allied products,37.6688473,-122.3900016,"Ideaya Biosciences, Inc.",IDYA,238,PricewaterhouseCoopers LLP,California,San Jose,23800107,Deepak Bhandarkar,5/30/2019,CA
76334,630,Miscellaneous fabricated metal products,Fabricated metal products,41.5065902,-81.4611707,PARKER HANNIFIN CORP,PH,34,Deloitte &  Touche LLP,Ohio,Cleveland,3410762,William Snyder,9/19/2019,OH
1401564,1231,State commercial banks,Depository institutions,47.4809451,-122.2062894,"First Financial Northwest, Inc.",FFNW,659,Moss Adams LLP,Washington,Everett,65900115,Marie-Louise Hanson,3/25/2019,WA
1286613,1231,Services-educational services,Educational services,40.795198,-74.259229,LINCOLN EDUCATIONAL SERVICES CORP,LINC,34,Deloitte &  Touche LLP,New Jersey,Parsippany,3410802,Mark Sodano,4/16/2019,NJ
1175680,531,Pharmaceutical preparations,Chemicals and allied products,45.6297923,-122.670815,CytoDyn Inc.,CYDY,2226,"Warren Averett, LLC",Alabama,Birmingham,222600003,Jeffrey Burleson,1/15/2020,WA
918646,331,"Cement, hydraulic","Stone, clay, glass, and concrete products",32.8642196,-96.8101891,Eagle Materials Inc.,EXP; EXP.B; EXP.I,42,Ernst & Young LLP,Texas,Dallas,4201842,Marney MacKenna,6/10/2019,TX
1367083,331,Pharmaceutical preparations,Chemicals and allied products,38.2671121,-122.6595597,"Sonoma Pharmaceuticals, Inc",SNOA; SNOAW,688,Marcum LLP,New York,New York,68800121,Edward Hackert,8/14/2019,CA
1321834,1231,In vitro & in vivo diagnostic substances,Chemicals and allied products,39.8368109,-75.1936154,"Akers Biosciences, Inc.",AKER,536,Morison Cogen LLP,Pennsylvania,"Blue Bell
",53600004,Benjamin Piazza,4/8/2019,NJ
109657,1231,Pharmaceutical preparations,Chemicals and allied products,34.1635002,-118.8218208,"GT Biopharma, Inc.",GTBP,759,"Seligson & Giannattasio, LLP",New York,White Plains,75919901,Terence Harper,6/11/2019,CA
1308547,927,Patent owners & lessors,Holding and other investment offices,37.7775216,-122.4157118,"Dolby Laboratories, Inc.",DLB; 1771B,185,KPMG LLP,California,San Francisco,18500829,Cecil Mak,12/17/2019,CA
81157,1231,Real estate,Real estate,38.6471674,-90.338281,"PGI, Incorporated",PGAI,686,"BKD, LLP",Missouri,St. Louis,68640005,Donna Doerhoff,2/27/2019,MO
90498,1231,National commercial banks,Depository institutions,34.224569,-92.0030655,Simmons First National Corporation,SFNC,686,"BKD, LLP",Arkansas,Little Rock,68645024,Jason Rader,3/20/2020,AR
701869,1231,Life insurance,Insurance carriers,41.0261417,-73.5530772,Independence Holding Company,IHC,49,RSM US LLP,Florida,Jacksonville,4932615,John Sproull,3/20/2020,CT
